Freq(Hz)	RL(%)
9289375000.0	95.726566953
9292000000.0	94.5624265117
9294625000.0	95.5173124623
9297250000.0	95.0144828329
9299875000.0	94.1978765522
9302500000.0	93.8938721056
9305125000.0	94.1214675026
9307750000.0	94.4318579363
9310375000.0	95.315849087
9313000000.0	94.3798791303
9315625000.0	95.2516799186
9318250000.0	95.8894934484
9320875000.0	95.6389909705
9323500000.0	94.4348412696
9326125000.0	94.691120096
9328750000.0	96.2110735449
9331375000.0	96.2183945278
9334000000.0	93.9111759326
9336625000.0	95.5276314948
9339250000.0	94.8294482014
9341875000.0	95.126475889
9344500000.0	95.8719304423
9347125000.0	94.1513922377
9349750000.0	94.671572636
9352375000.0	95.1413177492
9355000000.0	95.5594977953
9357625000.0	95.9510876878
9360250000.0	94.45116432
9362875000.0	96.1198397099
9365500000.0	95.4354098678
9368125000.0	95.5530398954
9370750000.0	95.4164119961
9373375000.0	95.4118071529
9376000000.0	95.2564492319
9378625000.0	94.8444344705
9381250000.0	95.1103240001
9383875000.0	96.2283865355
9386500000.0	95.447435814
9389125000.0	95.2631086804
9391750000.0	95.3151125548
9394375000.0	94.991965539
9397000000.0	94.5672940172
9399625000.0	94.9214321761
9402250000.0	95.5414876294
9404875000.0	94.8353246359
9407500000.0	94.4238829732
9410125000.0	95.174484849
9412750000.0	95.3298101772
9415375000.0	94.7644472608
9418000000.0	94.8444520577
9420625000.0	93.0757531149
9423250000.0	95.0138212718
9425875000.0	94.3734221808
9428500000.0	96.3536882073
9431125000.0	94.9076357307
9433750000.0	94.3820376032
9436375000.0	94.5755185006
9439000000.0	95.4028266342
9441625000.0	94.3394146704
9444250000.0	95.9619197128
9446875000.0	95.7620790261
9449500000.0	93.9405941516
9452125000.0	95.8765883212
9454750000.0	94.5123251872
9457375000.0	95.5180623797
9460000000.0	95.150270531
9462625000.0	95.7180147049
9465250000.0	93.79479745
9467875000.0	95.6274137554
9470500000.0	94.4953321813
9473125000.0	95.2119319827
9475750000.0	95.1847312768
9478375000.0	95.7972308761
9481000000.0	95.4443113968
9483625000.0	96.3615080908
9486250000.0	95.7477586173
9488875000.0	94.9086387987
9491500000.0	96.5320650118
9494125000.0	95.4887244966
9496750000.0	95.5740599697
9499375000.0	97.5568471142
9502000000.0	95.8689686194
9504625000.0	95.0597984636
9507250000.0	96.3038802998
9509875000.0	96.6643001645
9512500000.0	95.9573715486
9515125000.0	95.229989742
9517750000.0	94.8465144482
9520375000.0	95.4997572937
9523000000.0	94.6791268806
9525625000.0	94.8126276844
9528250000.0	94.5056494385
9530875000.0	95.6179787296
9533500000.0	95.9768779643
9536125000.0	94.5876124449
9538750000.0	95.9785855651
9541375000.0	95.07169087
9544000000.0	96.5194299308
9546625000.0	97.9331797078
